"Markettype","Trdwnt","Cwretmdos"
"85","2000-47","0.021947"
"95","2000-47","0.021770"
"101","2000-47","0.021947"
"111","2000-47","0.021770"
"117","2000-47","0.021947"
"127","2000-47","0.021770"
"33","2000-47","0.020281"
"20","2000-47","0.023690"
"5","2000-48","-0.016684"
"10","2000-48","-0.035533"
"15","2000-48","-0.017283"
"21","2000-48","-0.016684"
"31","2000-48","-0.017283"
"37","2000-48","-0.016684"
"47","2000-48","-0.017283"
"53","2000-48","-0.016684"
"63","2000-48","-0.017283"
"69","2000-48","-0.016684"
"79","2000-48","-0.017283"
"85","2000-48","-0.016684"
"95","2000-48","-0.017283"
"101","2000-48","-0.016684"
"111","2000-48","-0.017283"
"117","2000-48","-0.016684"
"127","2000-48","-0.017283"
"33","2000-48","-0.017119"
"20","2000-48","-0.016231"
"5","2000-49","0.012885"
"10","2000-49","0.020940"
"15","2000-49","0.013134"
"21","2000-49","0.012885"
"31","2000-49","0.013134"
"37","2000-49","0.012885"
"47","2000-49","0.013134"
"53","2000-49","0.012885"
"63","2000-49","0.013134"
"69","2000-49","0.012885"
"79","2000-49","0.013134"
"85","2000-49","0.012885"
"95","2000-49","0.013134"
"101","2000-49","0.012885"
"111","2000-49","0.013134"
"117","2000-49","0.012885"
"127","2000-49","0.013134"
"33","2000-49","0.012152"
"20","2000-49","0.013653"
"5","2000-50","-0.008064"
"10","2000-50","0.019273"
"15","2000-50","-0.007214"
"21","2000-50","-0.008064"
"31","2000-50","-0.007214"
"37","2000-50","-0.008064"
"47","2000-50","-0.007214"
"53","2000-50","-0.008064"
"63","2000-50","-0.007214"
"69","2000-50","-0.008064"
"79","2000-50","-0.007214"
"85","2000-50","-0.008064"
"95","2000-50","-0.007214"
"101","2000-50","-0.008064"
"111","2000-50","-0.007214"
"117","2000-50","-0.008064"
"127","2000-50","-0.007214"
"33","2000-50","-0.006474"
"20","2000-50","-0.009737"
"5","2000-51","-0.012667"
"10","2000-51","0.005631"
"15","2000-51","-0.012086"
"21","2000-51","-0.012667"
"31","2000-51","-0.012086"
"37","2000-51","-0.012667"
"47","2000-51","-0.012086"
"53","2000-51","-0.012667"
"63","2000-51","-0.012086"
"69","2000-51","-0.012667"
"79","2000-51","-0.012086"
"85","2000-51","-0.012667"
"95","2000-51","-0.012086"
"101","2000-51","-0.012667"
"111","2000-51","-0.012086"
"117","2000-51","-0.012667"
"127","2000-51","-0.012086"
"33","2000-51","-0.013073"
"20","2000-51","-0.012235"
"5","2000-52","0.010898"
"10","2000-52","0.091500"
"15","2000-52","0.013477"
"21","2000-52","0.010898"
"31","2000-52","0.013477"
"37","2000-52","0.010898"
"47","2000-52","0.013477"
"53","2000-52","0.010898"
"63","2000-52","0.013477"
"69","2000-52","0.010898"
"79","2000-52","0.013477"
"85","2000-52","0.010898"
"95","2000-52","0.013477"
"101","2000-52","0.010898"
"111","2000-52","0.013477"
"117","2000-52","0.010898"
"127","2000-52","0.013477"
"33","2000-52","0.013928"
"20","2000-52","0.007654"
"5","2000-53","0.002616"
"10","2000-53","0.045861"
"15","2000-53","0.004092"
"21","2000-53","0.002616"
"31","2000-53","0.004092"
"37","2000-53","0.002616"
"47","2000-53","0.004092"
"53","2000-53","0.002616"
"63","2000-53","0.004092"
"69","2000-53","0.002616"
"79","2000-53","0.004092"
"85","2000-53","0.002616"
"95","2000-53","0.004092"
"101","2000-53","0.002616"
"111","2000-53","0.004092"
"117","2000-53","0.002616"
"127","2000-53","0.004092"
"33","2000-53","0.004099"
"20","2000-53","0.000993"
"5","2001-01","0.022714"
"10","2001-01","-0.000514"
"15","2001-01","0.021897"
"21","2001-01","0.022714"
"31","2001-01","0.021897"
"37","2001-01","0.022714"
"47","2001-01","0.021897"
"53","2001-01","0.022714"
"63","2001-01","0.021897"
"69","2001-01","0.022714"
"79","2001-01","0.021897"
"85","2001-01","0.022714"
"95","2001-01","0.021897"
"101","2001-01","0.022714"
